Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
145 7.25 0.171877 0.170109 0.01189
146 7.3 0.170996 0.169238 0.0117672
147 7.35 0.17012 0.168373 0.0116459
148 7.4 0.169249 0.167514 0.011526
149 7.45 0.168384 0.166659 0.0114075
150 7.5 0.167524 0.16581 0.0112903
151 7.55 0.16667 0.164966 0.0111744
152 7.6 0.165821 0.164127 0.0110599
153 7.65 0.164977 0.163294 0.0109467
154 7.7 0.164138 0.162465 0.0108348
155 7.75 0.163304 0.161642 0.0107241
156 7.8 0.162476 0.160823 0.0106147
157 7.85 0.161652 0.16001 0.0105065
158 7.9 0.160833 0.159201 0.0103995
159 7.95 0.16002 0.158398 0.0102938
160 8 0.159211 0.157599 0.0101892
161 8.05 0.158407 0.156804 0.0100858
162 8.1 0.157608 0.156015 0.00998354
163 8.15 0.156814 0.15523 0.00988243
164 8.2 0.156025 0.15445 0.00978245
165 8.25 0.15524 0.153675 0.00968358
166 8.3 0.15446 0.152904 0.0095858
167 8.35 0.153684 0.152138 0.00948911
168 8.4 0.152913 0.151376 0.00939348
169 8.45 0.152147 0.150619 0.00929891
170 8.5 0.151385 0.149866 0.00920539
171 8.55 0.150628 0.149117 0.00911288
172 8.6 0.149875 0.148373 0.0090214
173 8.65 0.149126 0.147634 0.00893091
174 8.7 0.148382 0.146898 0.00884142
175 8.75 0.147642 0.146167 0.0087529
176 8.8 0.146907 0.14544 0.00866535
177 8.85 0.146175 0.144717 0.00857875
178 8.9 0.145448 0.143999 0.00849309
179 8.95 0.144726 0.143284 0.00840836
180 9 0.144007 0.142574 0.00832455
181 9.05 0.143292 0.141868 0.00824164
182 9.1 0.142582 0.141165 0.00815963
183 9.15 0.141876 0.140467 0.0080785
184 9.2 0.141173 0.139773 0.00799824
185 9.25 0.140475 0.139082 0.00791885
186 9.3 0.139781 0.138396 0.00784031
187 9.35 0.13909 0.137714 0.00776261
188 9.4 0.138404 0.137035 0.00768574
189 9.45 0.137721 0.13636 0.00760969
190 9.5 0.137043 0.135689 0.00753445
191 9.55 0.136368 0.135022 0.00746001
192 9.6 0.135697 0.134358 0.00738637
193 9.65 0.135029 0.133698 0.00731351
194 9.7 0.134366 0.133042 0.00724142
195 9.75 0.133706 0.13239 0.00717009
196 9.8 0.13305 0.131741 0.00709952
197 9.85 0.132397 0.131096 0.00702969
198 9.9 0.131748 0.130454 0.0069606
199 9.95 0.131103 0.129816 0.00689223
200 10 0.130461 0.129181 0.00682459
201 10.05 0.129823 0.12855 0.00675765
202 10.1 0.129188 0.127923 0.00669142
203 10.15 0.128557 0.127298 0.00662588
204 10.2 0.12793 0.126678 0.00656103
205 10.25 0.127305 0.12606 0.00649685
206 10.3 0.126685 0.125446 0.00643335
207 10.35 0.126067 0.124836 0.0063705
208 10.4 0.125453 0.124229 0.00630831
209 10.45 0.124843 0.123625 0.00624677
210 10.5 0.124235 0.123024 0.00618586
211 10.55 0.123631 0.122426 0.00612559
212 10.6 0.12303 0.121832 0.00606594
213 10.65 0.122433 0.121241 0.00600691
214 10.7 0.121839 0.120654 0.00594849
215 10.75 0.121248 0.120069 0.00589068
216 10.8 0.12066 0.119488 0.00583345
217 10.85 0.120075 0.118909 0.00577682
218 10.9 0.119494 0.118334 0.00572077
219 10.95 0.118916 0.117762 0.0056653
220 11 0.11834 0.117193 0.0056104
221 11.05 0.117768 0.116627 0.00555606
222 11.1 0.117199 0.116064 0.00550227
223 11.15 0.116633 0.115504 0.00544904
224 11.2 0.11607 0.114947 0.00539635
225 11.25 0.11551 0.114393 0.0053442
226 11.3 0.114953 0.113842 0.00529258
227 11.35 0.114399 0.113294 0.00524149
228 11.4 0.113848 0.112748 0.00519091
229 11.45 0.113299 0.112206 0.00514086
230 11.5 0.112754 0.111666 0.00509131
231 11.55 0.112212 0.11113 0.00504226
232 11.6 0.111672 0.110596 0.00499371
233 11.65 0.111135 0.110065 0.00494565
234 11.7 0.110602 0.109537 0.00489808
235 11.75 0.110071 0.109011 0.00485099
236 11.8 0.109542 0.108489 0.00480437
237 11.85 0.109017 0.107969 0.00475823
238 11.9 0.108494 0.107451 0.00471255
239 11.95 0.107974 0.106937 0.00466733
240 12 0.107457 0.106425 0.00462256
241 12.05 0.106942 0.105916 0.00457825
242 12.1 0.10643 0.105409 0.00453438
243 12.15 0.105921 0.104905 0.00449095
244 12.2 0.105414 0.104404 0.00444796
245 12.25 0.10491 0.103905 0.0044054
246 12.3 0.104409 0.103409 0.00436326
247 12.35 0.10391 0.102916 0.00432155
248 12.4 0.103414 0.102425 0.00428025
249 12.45 0.102921 0.101936 0.00423936
250 12.5 0.10243 0.10145 0.00419888
251 12.55 0.101941 0.100967 0.00415881
252 12.6 0.101455 0.100486 0.00411913
253 12.65 0.100972 0.100007 0.00407985
254 12.7 0.100491 0.0995314 0.00404096
255 12.75 0.100012 0.0990578 0.00400246
256 12.8 0.0995363 0.0985867 0.00396434
257 12.85 0.0990627 0.0981179 0.0039266
258 12.9 0.0985915 0.0976516 0.00388923
259 12.95 0.0981228 0.0971877 0.00385223
260 13 0.0976564 0.0967261 0.0038156
261 13.05 0.0971924 0.0962669 0.00377933
262 13.1 0.0967308 0.09581 0.00374342
263 13.15 0.0962716 0.0953554 0.00370786
264 13.2 0.0958147 0.0949032 0.00367265
265 13.25 0.0953601 0.0944532 0.0036378
